id,name,name_kana,address,area,category,lat,lng,place_id,google_maps_url,phone,is_verified,created_by,created_at
"1e7f71c0-116a-42d2-9b4d-3aa7b35bef2f","玉のゆ","たまのゆ","日本、〒395-0304 長野県下伊那郡阿智村智里３９５","阿智村","飲食","35.4570662","137.7142846",,"https://maps.google.com/?cid=5463624303617237560","0265-43-2880","true","api","2025-10-31T00:23:47.382841+00:00"
"5a34d90f-b0b6-434c-98fc-c8fdb6f1987f","山ちゃん","やまちゃん","日本、〒395-0304 長野県下伊那郡阿智村智里４２２−１","阿智村","飲食","35.4575914","137.7144116",,"https://maps.google.com/?cid=17907499078683842464","0265-43-3999","true","api","2025-10-31T00:23:48.088747+00:00"
"6561a19d-cd11-49bb-bed5-369d2e10dae0","掘割","ほりわり","日本、〒395-0401 長野県下伊那郡阿智村清内路４７７−１","阿智村","飲食","35.477313","137.70068",,"https://maps.google.com/?cid=16751563353879887415","0265-46-2244","true","api","2025-10-31T00:23:48.741922+00:00"
"e5de0733-20a1-4ec5-b2e4-15d75887deae","南国飯店","なんごくはんてん","日本、〒395-0303 長野県下伊那郡阿智村駒場１５０２−２","阿智村","飲食","35.4483333","137.7330556",,"https://maps.google.com/?cid=7605089634567856945","0265-43-2283","true","api","2025-10-31T00:23:49.404404+00:00"
"8b6ff4da-cb43-4d48-8ac4-52e7ce5570eb","昼神十割そば","ひるかみじゅうわりそば","日本、〒395-0304 長野県下伊那郡阿智村智里４０８","阿智村","飲食","35.4572798","137.7140635",,"https://maps.google.com/?cid=17708952601756288748","0265-43-3191","true","api","2025-10-31T00:23:50.042614+00:00"
"f50cd6ab-51f3-49e2-bf00-dec8dc30fc62","くいしんぼ 昼神店","くいしんぼ ひるかみてん","日本、〒395-0304 長野県下伊那郡阿智村智里昼神４０８","阿智村","飲食","35.4573005","137.7140753",,"https://maps.google.com/?cid=6667021097387129712","0265-43-3191","true","api","2025-10-31T00:23:50.706862+00:00"
"b63efbd8-fba6-43c4-b076-5f2ae04e4232","かぐやの里","かぐやのさと","日本、〒395-0303 長野県下伊那郡阿智村駒場１５９１","阿智村","飲食","35.4431706","137.739362",,"https://maps.google.com/?cid=8287434238260242275","0265-43-4341","true","api","2025-10-31T00:23:51.368759+00:00"
"32ed5b3c-53c2-441b-821e-4d8ae51dec75","きたせんと","きたせんと","日本、〒395-0303 長野県下伊那郡阿智村駒場１２３３","阿智村","飲食","35.4445363","137.740768",,"https://maps.google.com/?cid=18283717839260095066","0265-43-2173","true","api","2025-10-31T00:23:52.006083+00:00"
"9e635da1-fc2f-4a54-93e0-79f558478611","辻乃園","つじ乃えん","日本、〒395-0302 長野県下伊那郡阿智村伍和３０６−３","阿智村","飲食","35.4366474","137.7471364",,"https://maps.google.com/?cid=18423374043658051299","0265-43-2524","true","api","2025-10-31T00:23:52.648545+00:00"
"e5dbc238-754b-49ba-a340-01e12ea195b3","うどんやこいけ 西下中屋","うどんやこいけ にししたなかや","日本、〒395-0303 長野県下伊那郡阿智村駒場２５４−１２","阿智村","飲食","35.4477665","137.7495938",,"https://maps.google.com/?cid=16217380338756212473","0265-43-5500","true","api","2025-10-31T00:23:53.287334+00:00"
"104e3848-4f00-4c02-a620-69d72d38c613","あひる","あひる","日本、〒395-0300 長野県下伊那郡阿智村智里昼神20−４","阿智村","飲食","35.4546027","137.7181147",,"https://maps.google.com/?cid=17699695863136004843","0265-43-2678","true","api","2025-10-31T00:23:54.561589+00:00"
"e6eec500-37bc-4a21-8602-6bfa1a48611e","大坂屋食堂","おおさかやしょくどう","日本、〒395-0303 長野県下伊那郡阿智村駒場１１７９","阿智村","飲食","35.4443661","137.7431108",,"https://maps.google.com/?cid=7552659956853816664","0265-43-2059","true","api","2025-10-31T00:23:55.206179+00:00"
"dfb9c18a-4f07-4901-8356-6ec472419b04","ごか食堂","ごかしょくどう","日本、〒395-0302 長野県下伊那郡阿智村伍和","阿智村","飲食","35.4413464","137.7518287",,"https://maps.google.com/?cid=8156596574232288781",,"true","api","2025-10-31T00:23:55.858616+00:00"
"143a44e1-72f1-407e-97fd-28cddb32c8b0","そば処 おにひら本店","そばしょ おにひらほんてん","日本、〒395-0304 長野県下伊那郡阿智村智里４４０５−１","阿智村","飲食","35.431333","137.698763",,"https://maps.google.com/?cid=761291056000295930","0265-43-3398","true","api","2025-10-31T00:23:56.521201+00:00"
"80ee0758-c9d3-43ca-8612-6df289f52931","そば勝縁","そばしょうえん","日本、〒395-0304 長野県下伊那郡阿智村智里８２９−５","阿智村","飲食","35.4470361","137.7198249",,"https://maps.google.com/?cid=5851605498210298341","0265-43-3711","true","api","2025-10-31T00:23:57.162549+00:00"
"4f3b5ec3-9caa-4056-aee8-82e6c0f8b7cf","青木屋","あおきや","日本、〒395-0304 長野県下伊那郡阿智村智里４２２４−１","阿智村","飲食","35.438581","137.650414",,"https://maps.google.com/?cid=671861868241032330","0265-44-2208","true","api","2025-10-31T00:23:57.794951+00:00"
"b450a38f-385a-481e-89df-f0e829433c20","そば 三日庵","そば さんにちあん","日本、〒395-0304 長野県下伊那郡阿智村智里３３６６−８","阿智村","飲食","35.4373096","137.7073394",,"https://maps.google.com/?cid=3763576761265423272","0265-45-1188","true","api","2025-10-31T00:23:58.442199+00:00"
"e035d2ba-30e3-4c61-87b3-65fcba0dbc88","門前屋","もんぜんや","日本、〒395-0304 長野県下伊那郡阿智村智里３６１４","阿智村","飲食","35.4592168","137.668345",,"https://maps.google.com/?cid=5773049604200806753","0265-44-2258","true","api","2025-10-31T00:23:59.096212+00:00"
"ee6944de-a1f4-4d48-b721-51c3cfffe2c1","そば処 おにひら昼神店","そばしょ おにひらひるかみてん","日本、〒395-0304 長野県下伊那郡阿智村智里３３１−１","阿智村","飲食","35.4552853","137.7150637",,"https://maps.google.com/?cid=9015262127939119520","0265-43-3930","true","api","2025-10-31T00:23:59.73542+00:00"
"f173912a-81e3-4ba3-a884-584404b87e38","珈琲＆食事の店やまびこ","こーひー＆しょくじのみせやまびこ","日本、〒395-0303 長野県下伊那郡阿智村駒場４３１−１","阿智村","飲食","35.446782","137.747938",,"https://maps.google.com/?cid=4655353180680760577","0265-43-3700","true","api","2025-10-31T00:24:00.639713+00:00"
"b833ba49-7973-4ff1-a2e3-86f9de6a5a12","彩り季節風 伍和","いろどりきせつふう ごか","日本、〒395-0302 長野県下伊那郡阿智村伍和５５８７−４６","阿智村","飲食","35.4211824","137.7465003",,"https://maps.google.com/?cid=14375572952459450804","0265-48-6852","true","api","2025-10-31T00:24:01.289348+00:00"
"450e3119-f4e4-4ce3-a96f-85bae6c3552a","十字屋可否茶館 昼神店","じゅうじやかひちゃかん ひるかみてん","日本、〒395-0304 長野県下伊那郡阿智村智里５０３−１８９","阿智村","飲食","35.4629835","137.7086351",,"https://maps.google.com/?cid=2102945830274467062","0265-43-2323","true","api","2025-10-31T00:24:01.935868+00:00"
"3c661e9e-8118-49f9-b910-c6e84e12e544","スタービレッジカフェ","スタービレッジカフェ","日本、〒395-0304 長野県下伊那郡阿智村智里３７３１−４","阿智村","飲食","35.4552637","137.668574",,"https://maps.google.com/?cid=12626368003673195887",,"true","api","2025-10-31T00:24:02.586464+00:00"
